restaurant_id;name;category;neighborhood;address;phone;normalized_phone;whatsapp_url;instagram;rating;reviews_count;menu_status;reason;suggested_message
a95db76d-30a1-4ccc-b3a4-6204cb9f08b3;CO.FFEE BISTRÔ E CAFETERIA;;Catolé;Av. Dr. Elpídio de Almeida;(83) 99186-1440;5583991861440;https://wa.me/5583991861440;;4.4;1131;unknown;no_instagram_with_google_phone;"Olá, tudo bem? Estou cadastrando restaurantes de Campina Grande no FilterFood e queria incluir o CO.FFEE BISTRÔ E CAFETERIA. Você poderia me enviar o cardápio atualizado por foto, PDF ou link? Se tiver opções/adicionais como sabores, bordas, molhos, acompanhamentos e combos, pode enviar também por favor?"
367f74f7-e38b-40e5-b00e-8d31131f1e06;Banana Beer;Bar·;Prata;R. Rodrigues Alves;(83) 3341-3029;558333413029;https://wa.me/558333413029;;4.3;718;unknown;no_instagram_with_google_phone;"Olá, tudo bem? Estou cadastrando restaurantes de Campina Grande no FilterFood e queria incluir o Banana Beer. Você poderia me enviar o cardápio atualizado por foto, PDF ou link? Se tiver opções/adicionais como sabores, bordas, molhos, acompanhamentos e combos, pode enviar também por favor?"
4bd8b7b6-3cb8-46da-947f-faa2c50b5455;Restaurante Outback Steakhouse;Restaurante·;Lj 1009 - 1 PISO - Catolé;Av. Pref. Severino Bezerra Cabral;(83) 3330-0670;558333300670;https://wa.me/558333300670;;4.9;703;unknown;no_instagram_with_google_phone;"Olá, tudo bem? Estou cadastrando restaurantes de Campina Grande no FilterFood e queria incluir o Restaurante Outback Steakhouse. Você poderia me enviar o cardápio atualizado por foto, PDF ou link? Se tiver opções/adicionais como sabores, bordas, molhos, acompanhamentos e combos, pode enviar também por favor?"
b5759814-ff91-4ca0-90b2-8621bb87654f;Restaurante Sabor Nordestino;Restaurante·;Campina Grande;R. das Juremas - Malvinas;(83) 99362-4228;5583993624228;https://wa.me/5583993624228;;4.4;652;unknown;no_instagram_with_google_phone;"Olá, tudo bem? Estou cadastrando restaurantes de Campina Grande no FilterFood e queria incluir o Restaurante Sabor Nordestino. Você poderia me enviar o cardápio atualizado por foto, PDF ou link? Se tiver opções/adicionais como sabores, bordas, molhos, acompanhamentos e combos, pode enviar também por favor?"
2d43a189-3bc1-4d5a-9a33-d36ca007d879;Fat Guys - Campina Grande;Hamburgueria·;Santo Antônio;R. Giló Guedes;(83) 3201-9897;558332019897;https://wa.me/558332019897;;4.9;625;unknown;no_instagram_with_google_phone;"Olá, tudo bem? Estou cadastrando restaurantes de Campina Grande no FilterFood e queria incluir o Fat Guys - Campina Grande. Você poderia me enviar o cardápio atualizado por foto, PDF ou link? Se tiver opções/adicionais como sabores, bordas, molhos, acompanhamentos e combos, pode enviar também por favor?"
3f4a285a-9363-4f3c-a6da-0ee547df7c85;BarRil;Bar·;Estacao Velha;Av. Jorn. Assis Chateaubriand;(83) 98860-7804;5583988607804;https://wa.me/5583988607804;;4.6;606;unknown;no_instagram_with_google_phone;"Olá, tudo bem? Estou cadastrando restaurantes de Campina Grande no FilterFood e queria incluir o BarRil. Você poderia me enviar o cardápio atualizado por foto, PDF ou link? Se tiver opções/adicionais como sabores, bordas, molhos, acompanhamentos e combos, pode enviar também por favor?"
07f489f0-88a8-4688-9c26-3acc55c63f74;China Recife Restaurante;Restaurante asiático·;Alto Branco;BR-104;(83) 99866-7910;5583998667910;https://wa.me/5583998667910;;4.4;508;unknown;no_instagram_with_google_phone;"Olá, tudo bem? Estou cadastrando restaurantes de Campina Grande no FilterFood e queria incluir o China Recife Restaurante. Você poderia me enviar o cardápio atualizado por foto, PDF ou link? Se tiver opções/adicionais como sabores, bordas, molhos, acompanhamentos e combos, pode enviar também por favor?"
95bcd6f4-f48a-45b8-8760-f7d3c6a13ba6;O Bodão Bar E Restaurante;Restaurante brasileiro·;Cruzeiro;Rua: Advogado - R. Otávio Amorim;(83) 98755-1802;5583987551802;https://wa.me/5583987551802;;4.3;507;unknown;no_instagram_with_google_phone;"Olá, tudo bem? Estou cadastrando restaurantes de Campina Grande no FilterFood e queria incluir o O Bodão Bar E Restaurante. Você poderia me enviar o cardápio atualizado por foto, PDF ou link? Se tiver opções/adicionais como sabores, bordas, molhos, acompanhamentos e combos, pode enviar também por favor?"
6dd9120c-1d37-4b63-82ed-e56a836f00f6;Campina SeaFood - A Casa do Caranguejo;Bar·;Cruzeiro;R. Francisco Ernesto do Rêgo;(83) 3065-2311;558330652311;https://wa.me/558330652311;;4.3;478;unknown;no_instagram_with_google_phone;"Olá, tudo bem? Estou cadastrando restaurantes de Campina Grande no FilterFood e queria incluir o Campina SeaFood - A Casa do Caranguejo. Você poderia me enviar o cardápio atualizado por foto, PDF ou link? Se tiver opções/adicionais como sabores, bordas, molhos, acompanhamentos e combos, pode enviar também por favor?"
5225c34d-7e74-497b-9812-eb8c40f0b7e8;Pizzaria e Esfiharia Paulistana (Delivery);Pizzaria;Malvinas;Em frente ao Colégio Walfredo Siqueira Luna - Av. Francisco Lopes de Almeida;(83) 98618-9876;5583986189876;https://wa.me/5583986189876;;4.7;460;unknown;no_instagram_with_google_phone;"Olá, tudo bem? Estou cadastrando restaurantes de Campina Grande no FilterFood e queria incluir o Pizzaria e Esfiharia Paulistana (Delivery). Você poderia me enviar o cardápio atualizado por foto, PDF ou link? Se tiver opções/adicionais como sabores, bordas, molhos, acompanhamentos e combos, pode enviar também por favor?"
