rank;restaurant_id;name;platform;tier;priority_score;risk_flags;source_field;source_url;raw_source_url;other_url;external_url;other_url_label;category;neighborhood;address;rating;reviews_count;menu_status;menu_status_reason;collection_hint
1;395c5d1a-99f7-40e3-82f3-af6e22406e75;Bar da Curva - Sandro's Bar;cardapioweb;green;0;;other_url;https://app.cardapioweb.com/sandros_bar?s=cb;https://app.cardapioweb.com/sandros_bar?s=cb;https://app.cardapioweb.com/sandros_bar?s=cb;https://app.cardapioweb.com/sandros_bar?s=cb;Cardapio Web;;Sandra Cavalcante;R. Profa. Severina Ramos da Silva, 27;4.5;2635;needs_recollection;"Fonte publica de cardapio encontrada no link da bio do Instagram (Cardapio Web); aguardando coleta estruturada.";cardapioweb_fast_path
2;528002c2-69ff-4e98-9646-8ed10b97ea69;Restaurante Daikôn;cardapioweb;green;0;;other_url;https://app.cardapioweb.com/daikon_delivery?s=pub;https://app.cardapioweb.com/daikon_delivery?s=pub;https://app.cardapioweb.com/daikon_delivery?s=pub;https://app.cardapioweb.com/daikon_delivery?s=pub;Cardapio Web;;Prata;R. Cap. João Alves de Lira, 303;4.5;1012;needs_recollection;"Fonte publica de cardapio encontrada no link da bio do Instagram (Cardapio Web); aguardando coleta estruturada.";cardapioweb_fast_path
3;838f1dd1-a1a6-4969-ae6f-e3af43e66f96;Seu Bibi Pastelaria;cardapioweb;green;0;;other_url;https://app.cardapioweb.com/seubibi_pastelaria;https://app.cardapioweb.com/seubibi_pastelaria;https://app.cardapioweb.com/seubibi_pastelaria;https://app.cardapioweb.com/seubibi_pastelaria;Cardapio Web;Pastelaria brasileira;Liberdade;R. Odon Bezerra, 223;4.5;750;needs_recollection;"Fonte publica de cardapio encontrada no link da bio do Instagram (Cardapio Web); aguardando coleta estruturada.";cardapioweb_fast_path
4;9289d682-9aee-4573-be1b-8a4fedec8b14;lenha steak;cardapioweb;green;0;;other_url;https://app.cardapioweb.com/lenha_steak;https://app.cardapioweb.com/lenha_steak;https://app.cardapioweb.com/lenha_steak;https://app.cardapioweb.com/lenha_steak;Cardapio Web;Hamburgueria·;Vila Cabral;Rua professor - R. José Lopes de Andrade, 687B;5;659;needs_recollection;"Fonte publica de cardapio encontrada no link da bio do Instagram (Cardapio Web); aguardando coleta estruturada.";cardapioweb_fast_path
5;8911ead0-193d-403a-8728-d857bc9e0df5;Chinatown Campina Grande;cardapioweb;green;0;;other_url;https://app.cardapioweb.com/_chinatown;https://app.cardapioweb.com/_chinatown;https://app.cardapioweb.com/_chinatown;https://app.cardapioweb.com/_chinatown;Cardapio Web;Restaurante chinês·;Campina Grande;Praça de Alimentação - Avenida Severino Prefeito Bezerra Cabral 1050 loja 3015 -Catolé Campina Grande-PB Partage shopping - Catolé;4.3;601;needs_recollection;"Fonte publica de cardapio encontrada no link da bio do Instagram (Cardapio Web); aguardando coleta estruturada.";cardapioweb_fast_path
6;d8d17641-31ee-4b8f-831b-09bcfd507d5a;Mestre Burger;cardapioweb;green;0;;other_url;https://app.cardapioweb.com/mestre_burger;https://app.cardapioweb.com/mestre_burger;https://app.cardapioweb.com/mestre_burger;https://app.cardapioweb.com/mestre_burger;Cardapio Web;Hamburgueria;Palmeira;R. Prof. Balbino, 210;5;459;needs_recollection;"Fonte publica de cardapio encontrada no link da bio do Instagram (Cardapio Web); aguardando coleta estruturada.";cardapioweb_fast_path
7;a270e4fe-e0a7-4c8e-8213-8766bbb053c6;Bom Sabor Pizzaria;cardapioweb;green;0;;other_url;https://app.cardapioweb.com/pizzaria_bomsabor?s=insta;https://app.cardapioweb.com/pizzaria_bomsabor?s=insta;https://app.cardapioweb.com/pizzaria_bomsabor?s=insta;https://app.cardapioweb.com/pizzaria_bomsabor?s=insta;Cardapio Web;"""A massa Parece das que encontramos no supermercado e quase não tem queijo.""";Centro;R. Treze de Maio, 189;4.4;399;needs_recollection;"Fonte publica de cardapio encontrada no link da bio do Instagram (Cardapio Web); aguardando coleta estruturada.";cardapioweb_fast_path
8;7a564e31-faab-4bf2-9c1a-791be4da2968;DinDin Alegria;cardapioweb;green;0;;other_url;https://app.cardapioweb.com/dindin_alegria;https://app.cardapioweb.com/dindin_alegria;https://app.cardapioweb.com/dindin_alegria;https://app.cardapioweb.com/dindin_alegria;Cardapio Web;Sorveteria·;Liberdade;R. Odon Bezerra, 300;5;393;needs_recollection;"Fonte publica de cardapio encontrada no link da bio do Instagram (Cardapio Web); aguardando coleta estruturada.";cardapioweb_fast_path
9;cb172090-7a99-49be-a5da-5ea4ef1f5a4c;Seu Espeto Bar e Pesticaria;cardapioweb;green;0;;other_url;https://app.cardapioweb.com/seuespeto_;https://app.cardapioweb.com/seuespeto_;https://app.cardapioweb.com/seuespeto_;https://app.cardapioweb.com/seuespeto_;Cardapio Web;Bar·;Campina Grande;Itararé;4.5;346;needs_recollection;"Fonte publica de cardapio encontrada no link da bio do Instagram (Cardapio Web); aguardando coleta estruturada.";cardapioweb_fast_path
10;d53ffbac-d8cb-4a8b-bc58-43c3a6f76841;Kilomarmita;cardapioweb;green;0;;other_url;https://app.cardapioweb.com/kilomarmita;https://app.cardapioweb.com/kilomarmita;https://app.cardapioweb.com/kilomarmita;https://app.cardapioweb.com/kilomarmita;Cardapio Web;Restaurante de comida para viagem·;Loja 2 - Liberdade;Av. Jorn. Assis Chateaubriand, 300;4.5;338;needs_recollection;"Fonte publica de cardapio encontrada no link da bio do Instagram (Cardapio Web); aguardando coleta estruturada.";cardapioweb_fast_path
